region,year,gap_pp,yield_linerr_pp,land_defn_pp,L_hat
north_america,1,0.231999285665907,-0.21585074773629032,0.4551536998141037,0.005043250663492173
north_america,2,0.10837185685659279,-0.33543299400231597,0.45160383277202953,0.005004025007734098
north_america,3,0.14518740804496666,-0.31593449030682397,0.4693737356397554,0.005200363597651075
north_america,4,0.17212120123641927,-0.3011927391532998,0.4818857360592288,0.005338582515636115
north_america,5,0.19139488355210954,-0.2907100618991021,0.49091154158944494,0.005438276719565613
north_america,6,0.2053031934729943,-0.28322415215745744,0.49750821526630684,0.005511133125518734
north_america,7,0.21546013092722527,-0.277831689992436,0.5024038779048556,0.005565199086109171
north_america,8,0.222991269090711,-0.27390200039938417,0.5061059045082139,0.005606080820105956
north_america,9,0.22868065865415677,-0.27099569610431473,0.5089678166223965,0.005637683852818245
north_america,10,0.23307418577626082,-0.2688068816068312,0.5112358584076437,0.005662728216123256
north_america,11,0.2365518721907378,-0.2671226650561076,0.5130815586873672,0.0056831084553311
north_america,12,0.23937832810768667,-0.26579488360399806,0.5146244528746013,0.005700144756508082
north_america,13,0.2417379037585321,-0.2647203942540699,0.5159479141881196,0.005714757873498381
north_america,14,0.24375915378422874,-0.26382735237425736,0.5171101721783256,0.005727590855892596
north_america,15,0.24553185118665333,-0.26306566686510324,0.5181519760729225,0.00573909369975188
north_america,16,0.24711881391643598,-0.2624003644744799,0.5191019219941584,0.005749582187621237
north_america,17,0.2485641229206914,-0.2618069783815402,0.5199801549974792,0.005759278775382204
north_america,18,0.24989883145473124,-0.2612683443596109,0.5208009411948877,0.0057683409983858465
north_america,19,0.25114493098644664,-0.2607723752396929,0.5215744546207768,0.0057768812045394585
north_america,20,0.25231810589119164,-0.2603105150945084,0.5223080185219331,0.005784980261944862
north_america,21,0.2534296468366115,-0.25987666558650035,0.5230069676682936,0.005792697081209074
north_america,22,0.25448777986797344,-0.25946644025059973,0.5236752474436779,0.005800075230934759
north_america,23,0.2554985897238127,-0.2590766465179528,0.5243158301312834,0.005807147534498614
north_america,24,0.25646666137799645,-0.2587049258876095,0.5249310042480859,0.00581393926494281
north_america,25,0.2573955259169258,-0.25834950391631084,0.5255225757179183,0.005820470366344442
